0.0018525600,0.0031948090,696569,803189,559476558541
0.0396794796,0.0018269062,240811,599407,144343799077
0.1605971813,0.0014953613,80263,726413,58304086619
0.0007306576,0.0012258053,217229,255511,55504399019
0.0140072823,0.0020229340,628913,924431,581386673503
0.1786688328,0.0008859158,37717,630017,23762351189
0.0147756577,0.0022339821,675071,984353,664508164063
0.0714486599,0.0014901638,101839,490837,49986349243
0.0083684444,0.0010508537,167071,290611,48552670381
0.0000210285,0.0017652512,624241,633287,395323710167
0.0445357323,0.0019408226,387109,847883,328223140247
0.0014664173,0.0012997150,385159,457469,176198302571
0.0288930416,0.0020768166,487897,886973,432751465781
0.0026541710,0.0018921852,781283,917771,717038880193
0.0187548161,0.0015361786,414131,704447,291733340557
0.0059224606,0.0029502869,585413,764369,447471549397
0.0017903328,0.0032923222,808019,921199,744346294781
0.2926937580,0.0002623081,16091,818717,13173975247
0.2549377918,0.0007430077,54917,919081,50473171277
0.0002026558,0.0018470764,412949,439961,181681454989
0.0082290649,0.0023388386,736063,974161,717043868143
0.0752267838,0.0016846657,268999,832927,224056530073
0.1190281868,0.0010455608,92951,640771,59560305221
0.0292075634,0.0014847279,309629,656039,203128699531
0.0002059460,0.0018792629,564533,597677,337408389841
0.0030683994,0.0010710239,139483,209623,29238844909
0.0014420033,0.0017680168,326593,396181,129389941333
0.0321022987,0.0014652729,398339,816223,325133453597
0.2008395195,0.0003278255,16453,840353,13826327909
0.0157372952,0.0006872177,444089,840683,373338072787
0.1173149586,0.0003642082,42979,897581,38577133799
0.0434614182,0.0003554821,119183,712199,84882013417
0.0207889557,0.0005085468,220123,685649,150927114827
0.0544224262,0.0003441334,48563,660299,32066100337
0.0188556671,0.0007408142,180779,600101,108485658679
0.0348133087,0.0006436348,276047,992449,273962569103
0.0003069878,0.0009960175,900169,985799,887385700031
0.0006245136,0.0004772186,238471,304847,72697168937
0.0094314098,0.0007182598,391691,758521,297105849011
0.0238999844,0.0001997471,58073,398683,23152717859
0.0038904667,0.0006811142,264787,451873,119650096051
0.0366698742,0.0004721642,231607,931621,215769944947
0.0658070087,0.0002536774,39199,715193,28034850407
0.0124436855,0.0004329205,75767,311869,23629378523
0.0197846889,0.0002005100,28229,276623,7808790667
0.0015716076,0.0005865097,225371,331213,74645805023
0.0439990997,0.0003611565,59929,600569,35991499601
0.0000721931,0.0007070065,885769,926557,820715467333
0.0171016216,0.0007322311,339223,831037,281906864251
0.0212832451,0.0004187107,46861,340117,15938222737
0.0035377502,0.0006553173,592849,845893,501486819157
0.0012501717,0.0003654480,226453,319931,72449334743
0.0567705154,0.0000464439,1223,409861,501260003
0.0231747150,0.0007266521,341911,934811,319622163821
0.0017201424,0.0009793282,749701,940351,704982085051
0.0607317924,0.0001184464,17239,564173,9725778347
0.0517927647,0.0005712986,144307,900283,129917138881
0.0002375603,0.0003631115,395303,445363,176053329989
0.0044339657,0.0003015518,164431,321679,52893999649
0.0504428387,0.0002292156,63587,662773,42143746751
0.0293980598,0.0009941101,205661,789709,162412342649
0.0179781914,0.0003465652,259841,718303,186644569823
0.0125638008,0.0003880978,237319,595339,141285256141
0.0003430843,0.0009366989,502121,572437,287432638877
0.0166873932,0.0003759384,302801,770761,233387201561
0.0090783596,0.0002175808,23117,156011,3606506287
0.0883071899,0.0002903461,58231,988271,57548008601
0.0030048370,0.0007599354,716897,967061,693283129717
0.0002231121,0.0007118702,735617,802073,590018534041
0.0000481129,0.0006167889,772081,802709,619756367429
0.0001339912,0.0003389359,730559,779939,569791455901
0.0051285267,0.0008695126,547229,845447,462653116363
0.0100989342,0.0002259254,34217,193031,6604941727
0.0099670410,0.0008112907,517571,940853,486958228063
0.0023092747,0.0002764225,87553,174929,15315558737
0.0000321388,0.0003449917,396631,413533,164020007323
0.0423041821,0.0002814293,98327,691841,68026650007
0.0026543140,0.0007516384,536989,741343,398093036227
0.0381143570,0.0004135609,98927,653693,64667887411
0.0078759193,0.0006136894,263209,540511,142267359799
0.0324392319,0.0004526138,262807,936769,246189450583
0.0039664745,0.0006721497,495457,744397,368816704429
0.0259073257,0.0001883984,17327,290959,5041446593
0.0072617054,0.0004867077,343901,643883,221432007583
0.0140833855,0.0006342411,274349,677683,185921653367
0.0152653217,0.0007867813,198943,571861,113767742923
0.0000833511,0.0004752159,671477,710221,476897066417
0.0469599724,0.0004446030,64483,644327,41548137941
0.0015117168,0.0010244846,710977,886013,629934864701
0.0048591614,0.0005515099,166847,341821,57031808387
0.0057304859,0.0005506516,228469,447221,102176134649
0.0081732750,0.0004830360,497423,868537,432030280151
0.0060195923,0.0007211685,582469,918157,534797989633
0.0202124119,0.0003606796,146581,548591,80413017371
0.0098198891,0.0002241611,124021,361447,44827018387
0.0798048019,0.0002945900,65287,936161,61119143207
0.0032202721,0.0003883362,166867,306419,51131219273
0.0728195667,0.0001582146,10133,612847,6209978651
0.0054372311,0.0008122444,458501,745033,341598375533
0.0229644775,0.0005168438,137413,566549,77851197737
